,GEO,SEX,AGE_M3,VALUE
4451,DE234,T,TOTAL,103902.0
4452,DE235,F,18-29,8466.0
4453,DE235,F,30-39,7215.0
4454,DE235,F,40+,36972.0
4455,DE235,F,<18,10615.0
4456,DE235,F,TOTAL,63268.0
4457,DE235,M,18-29,9221.0
4458,DE235,M,30-39,7347.0
4459,DE235,M,40+,34878.0
4460,DE235,M,<18,10975.0
4461,DE235,M,TOTAL,62421.0
4462,DE235,T,18-29,14673.0
4463,DE235,T,30-39,14562.0
4464,DE235,T,40+,71850.0
4465,DE235,T,TOTAL,125689.0
4466,DE236,F,18-29,8759.0
4467,DE236,F,30-39,7289.0
4468,DE236,F,40+,36115.0
4469,DE236,F,<18,11483.0
4470,DE236,F,TOTAL,63646.0
4471,DE236,M,18-29,9284.0
4472,DE236,M,30-39,7297.0
4473,DE236,M,40+,34011.0
4474,DE236,M,<18,12198.0
4475,DE236,M,TOTAL,62790.0
4476,DE236,T,18-29,14663.0
4477,DE236,T,30-39,14586.0
4478,DE236,T,40+,70126.0
4479,DE236,T,TOTAL,126436.0
4480,DE237,F,18-29,6514.0
4481,DE237,F,30-39,5399.0
4482,DE237,F,40+,28432.0
4483,DE237,F,<18,8425.0
4484,DE237,F,TOTAL,48770.0
4485,DE237,M,18-29,7093.0
4486,DE237,M,30-39,5265.0
4487,DE237,M,40+,26421.0
4488,DE237,M,<18,8768.0
4489,DE237,M,TOTAL,47547.0
4490,DE237,T,18-29,11085.0
4491,DE237,T,30-39,10664.0
4492,DE237,T,40+,54853.0
4493,DE237,T,TOTAL,96317.0
4494,DE238,F,18-29,11909.0
4495,DE238,F,30-39,11183.0
4496,DE238,F,40+,52925.0
4497,DE238,F,<18,16093.0
4498,DE238,F,TOTAL,92110.0
4499,DE238,M,18-29,12566.0
4500,DE238,M,30-39,10697.0
4501,DE238,M,40+,49891.0
4502,DE238,M,<18,17025.0
4503,DE238,M,TOTAL,90179.0
4504,DE238,T,18-29,20070.0
4505,DE238,T,30-39,21880.0
4506,DE238,T,40+,102816.0
4507,DE238,T,TOTAL,182289.0
4508,DE239,F,18-29,9578.0
4509,DE239,F,30-39,8136.0
4510,DE239,F,40+,42159.0
4511,DE239,F,<18,11817.0
4512,DE239,F,TOTAL,71690.0
4513,DE239,M,18-29,10244.0
4514,DE239,M,30-39,8594.0
4515,DE239,M,40+,39303.0
4516,DE239,M,<18,12575.0
4517,DE239,M,TOTAL,70716.0
4518,DE239,T,18-29,16287.0
4519,DE239,T,30-39,16730.0
4520,DE239,T,40+,81462.0
4521,DE239,T,TOTAL,142406.0
4522,DE23A,F,18-29,4677.0
4523,DE23A,F,30-39,3993.0
4524,DE23A,F,40+,23087.0
4525,DE23A,F,<18,6182.0
4526,DE23A,F,TOTAL,37939.0
4527,DE23A,M,18-29,5311.0
4528,DE23A,M,30-39,4068.0
4529,DE23A,M,40+,21096.0
4530,DE23A,M,<18,6452.0
4531,DE23A,M,TOTAL,36927.0
4532,DE23A,T,18-29,8158.0
4533,DE23A,T,30-39,8061.0
4534,DE23A,T,40+,44183.0
4535,DE23A,T,TOTAL,74866.0
4536,DE24,F,18-29,73428.0
4537,DE24,F,30-39,58903.0
4538,DE24,F,40+,330425.0
4539,DE24,F,<18,84056.0
4540,DE24,F,TOTAL,546812.0
4541,DE24,M,18-29,75346.0
4542,DE24,M,30-39,58063.0
4543,DE24,M,40+,295447.0
4544,DE24,M,<18,87785.0
4545,DE24,M,TOTAL,516641.0
4546,DE24,T,18-29,123750.0
4547,DE24,T,30-39,116966.0
4548,DE24,T,40+,625872.0
4549,DE24,T,TOTAL,1063453.0
4550,DE241,F,18-29,7322.0
4551,DE241,F,30-39,4346.0
4552,DE241,F,40+,20837.0
4553,DE241,F,<18,5050.0
4554,DE241,F,TOTAL,37555.0
4555,DE241,M,18-29,6127.0
4556,DE241,M,30-39,4350.0
4557,DE241,M,40+,17393.0
4558,DE241,M,<18,5210.0
4559,DE241,M,TOTAL,33080.0
4560,DE241,T,18-29,11905.0
4561,DE241,T,30-39,8696.0
4562,DE241,T,40+,38230.0
4563,DE241,T,TOTAL,70635.0
4564,DE242,F,18-29,7548.0
4565,DE242,F,30-39,3889.0
4566,DE242,F,40+,20891.0
4567,DE242,F,<18,4777.0
4568,DE242,F,TOTAL,37105.0
4569,DE242,M,18-29,7058.0
4570,DE242,M,30-39,4205.0
4571,DE242,M,40+,17479.0
4572,DE242,M,<18,4961.0
4573,DE242,M,TOTAL,33703.0
4574,DE242,T,18-29,13033.0
4575,DE242,T,30-39,8094.0
4576,DE242,T,40+,38370.0
4577,DE242,T,TOTAL,70808.0
4578,DE243,F,18-29,3077.0
4579,DE243,F,30-39,2124.0
4580,DE243,F,40+,13360.0
4581,DE243,F,<18,2943.0
4582,DE243,F,TOTAL,21504.0
4583,DE243,M,18-29,3238.0
4584,DE243,M,30-39,2184.0
4585,DE243,M,40+,11001.0
4586,DE243,M,<18,3096.0
4587,DE243,M,TOTAL,19519.0
4588,DE243,T,18-29,5382.0
4589,DE243,T,30-39,4308.0
4590,DE243,T,40+,24361.0
4591,DE243,T,TOTAL,41023.0
4592,DE244,F,18-29,3266.0
4593,DE244,F,30-39,2348.0
4594,DE244,F,40+,14886.0
4595,DE244,F,<18,3253.0
4596,DE244,F,TOTAL,23753.0
4597,DE244,M,18-29,2940.0
4598,DE244,M,30-39,2490.0
4599,DE244,M,40+,12204.0
4600,DE244,M,<18,3372.0
4601,DE244,M,TOTAL,21006.0
4602,DE244,T,18-29,5264.0
4603,DE244,T,30-39,4838.0
4604,DE244,T,40+,27090.0
4605,DE244,T,TOTAL,44759.0
4606,DE245,F,18-29,9826.0
4607,DE245,F,30-39,8658.0
4608,DE245,F,40+,41018.0
4609,DE245,F,<18,12827.0
4610,DE245,F,TOTAL,72329.0
4611,DE245,M,18-29,10570.0
4612,DE245,M,30-39,8480.0
4613,DE245,M,40+,38717.0
4614,DE245,M,<18,13514.0
4615,DE245,M,TOTAL,71281.0
4616,DE245,T,18-29,16736.0
4617,DE245,T,30-39,17138.0
4618,DE245,T,40+,79735.0
4619,DE245,T,TOTAL,143610.0
4620,DE246,F,18-29,6555.0
4621,DE246,F,30-39,5996.0
4622,DE246,F,40+,32174.0
4623,DE246,F,<18,8853.0
4624,DE246,F,TOTAL,53578.0
4625,DE246,M,18-29,6970.0
4626,DE246,M,30-39,5740.0
4627,DE246,M,40+,29822.0
4628,DE246,M,<18,9286.0
4629,DE246,M,TOTAL,51818.0
4630,DE246,T,18-29,10988.0
4631,DE246,T,30-39,11736.0
4632,DE246,T,40+,61996.0
4633,DE246,T,TOTAL,105396.0
4634,DE247,F,18-29,5472.0
4635,DE247,F,30-39,4713.0
4636,DE247,F,40+,27513.0
4637,DE247,F,<18,6970.0
4638,DE247,F,TOTAL,44668.0
4639,DE247,M,18-29,5966.0
4640,DE247,M,30-39,4471.0
4641,DE247,M,40+,25231.0
4642,DE247,M,<18,7439.0
4643,DE247,M,TOTAL,43107.0
4644,DE247,T,18-29,9293.0
