,GEO,SEX,AGE_M3,VALUE
3973,DE217,T,30-39,17729.0
3974,DE217,T,40+,76368.0
3975,DE217,T,TOTAL,138697.0
3976,DE218,F,18-29,8023.0
3977,DE218,F,30-39,7903.0
3978,DE218,F,40+,36918.0
3979,DE218,F,<18,12014.0
3980,DE218,F,TOTAL,64858.0
3981,DE218,M,18-29,7870.0
3982,DE218,M,30-39,7613.0
3983,DE218,M,40+,34301.0
3984,DE218,M,<18,12925.0
3985,DE218,M,TOTAL,62709.0
3986,DE218,T,18-29,13085.0
3987,DE218,T,30-39,15516.0
3988,DE218,T,40+,71219.0
3989,DE218,T,TOTAL,127567.0
3990,DE219,F,18-29,9120.0
3991,DE219,F,30-39,7481.0
3992,DE219,F,40+,33379.0
3993,DE219,F,<18,11800.0
3994,DE219,F,TOTAL,61780.0
3995,DE219,M,18-29,9494.0
3996,DE219,M,30-39,7801.0
3997,DE219,M,40+,32047.0
3998,DE219,M,<18,12298.0
3999,DE219,M,TOTAL,61640.0
4000,DE219,T,18-29,15479.0
4001,DE219,T,30-39,15282.0
4002,DE219,T,40+,65426.0
4003,DE219,T,TOTAL,123420.0
4004,DE21A,F,18-29,8561.0
4005,DE21A,F,30-39,8125.0
4006,DE21A,F,40+,34288.0
4007,DE21A,F,<18,12215.0
4008,DE21A,F,TOTAL,63189.0
4009,DE21A,M,18-29,8748.0
4010,DE21A,M,30-39,8030.0
4011,DE21A,M,40+,33056.0
4012,DE21A,M,<18,12683.0
4013,DE21A,M,TOTAL,62517.0
4014,DE21A,T,18-29,14317.0
4015,DE21A,T,30-39,16155.0
4016,DE21A,T,40+,67344.0
4017,DE21A,T,TOTAL,125706.0
4018,DE21B,F,18-29,12767.0
4019,DE21B,F,30-39,11033.0
4020,DE21B,F,40+,42647.0
4021,DE21B,F,<18,14928.0
4022,DE21B,F,TOTAL,81375.0
4023,DE21B,M,18-29,13002.0
4024,DE21B,M,30-39,11252.0
4025,DE21B,M,40+,41286.0
4026,DE21B,M,<18,15903.0
4027,DE21B,M,TOTAL,81443.0
4028,DE21B,T,18-29,22082.0
4029,DE21B,T,30-39,22285.0
4030,DE21B,T,40+,83933.0
4031,DE21B,T,TOTAL,162818.0
4032,DE21C,F,18-29,12651.0
4033,DE21C,F,30-39,12676.0
4034,DE21C,F,40+,61712.0
4035,DE21C,F,<18,17079.0
4036,DE21C,F,TOTAL,104118.0
4037,DE21C,M,18-29,12383.0
4038,DE21C,M,30-39,11845.0
4039,DE21C,M,40+,54710.0
4040,DE21C,M,<18,18541.0
4041,DE21C,M,TOTAL,97479.0
4042,DE21C,T,18-29,20723.0
4043,DE21C,T,30-39,24521.0
4044,DE21C,T,40+,116422.0
4045,DE21C,T,TOTAL,201597.0
4046,DE21D,F,18-29,5159.0
4047,DE21D,F,30-39,4591.0
4048,DE21D,F,40+,27502.0
4049,DE21D,F,<18,6472.0
4050,DE21D,F,TOTAL,43724.0
4051,DE21D,M,18-29,5374.0
4052,DE21D,M,30-39,4349.0
4053,DE21D,M,40+,23492.0
4054,DE21D,M,<18,7107.0
4055,DE21D,M,TOTAL,40322.0
4056,DE21D,T,18-29,8681.0
4057,DE21D,T,30-39,8940.0
4058,DE21D,T,40+,50994.0
4059,DE21D,T,TOTAL,84046.0
4060,DE21E,F,18-29,6868.0
4061,DE21E,F,30-39,6510.0
4062,DE21E,F,40+,32942.0
4063,DE21E,F,<18,10853.0
4064,DE21E,F,TOTAL,57173.0
4065,DE21E,M,18-29,7551.0
4066,DE21E,M,30-39,6410.0
4067,DE21E,M,40+,30476.0
4068,DE21E,M,<18,11474.0
4069,DE21E,M,TOTAL,55911.0
4070,DE21E,T,18-29,11639.0
4071,DE21E,T,30-39,12920.0
4072,DE21E,T,40+,63418.0
4073,DE21E,T,TOTAL,113084.0
4074,DE21F,F,18-29,5853.0
4075,DE21F,F,30-39,5353.0
4076,DE21F,F,40+,29585.0
4077,DE21F,F,<18,7809.0
4078,DE21F,F,TOTAL,48600.0
4079,DE21F,M,18-29,5935.0
4080,DE21F,M,30-39,4958.0
4081,DE21F,M,40+,25780.0
4082,DE21F,M,<18,8357.0
4083,DE21F,M,TOTAL,45030.0
4084,DE21F,T,18-29,9711.0
4085,DE21F,T,30-39,10311.0
4086,DE21F,T,40+,55365.0
4087,DE21F,T,TOTAL,93630.0
4088,DE21G,F,18-29,6920.0
4089,DE21G,F,30-39,6186.0
4090,DE21G,F,40+,31372.0
4091,DE21G,F,<18,9317.0
4092,DE21G,F,TOTAL,53795.0
4093,DE21G,M,18-29,7424.0
4094,DE21G,M,30-39,6073.0
4095,DE21G,M,40+,29129.0
4096,DE21G,M,<18,9994.0
4097,DE21G,M,TOTAL,52620.0
4098,DE21G,T,18-29,11672.0
4099,DE21G,T,30-39,12259.0
4100,DE21G,T,40+,60501.0
4101,DE21G,T,TOTAL,106415.0
4102,DE21H,F,18-29,19416.0
4103,DE21H,F,30-39,20740.0
4104,DE21H,F,40+,94236.0
4105,DE21H,F,<18,27727.0
4106,DE21H,F,TOTAL,162119.0
4107,DE21H,M,18-29,20476.0
4108,DE21H,M,30-39,19099.0
4109,DE21H,M,40+,85535.0
4110,DE21H,M,<18,30020.0
4111,DE21H,M,TOTAL,155130.0
4112,DE21H,T,18-29,33854.0
4113,DE21H,T,30-39,39839.0
4114,DE21H,T,40+,179771.0
4115,DE21H,T,TOTAL,317249.0
4116,DE21I,F,18-29,6195.0
4117,DE21I,F,30-39,5453.0
4118,DE21I,F,40+,25597.0
4119,DE21I,F,<18,8383.0
4120,DE21I,F,TOTAL,45628.0
4121,DE21I,M,18-29,6552.0
4122,DE21I,M,30-39,5748.0
4123,DE21I,M,40+,23990.0
4124,DE21I,M,<18,8675.0
4125,DE21I,M,TOTAL,44965.0
4126,DE21I,T,18-29,10459.0
4127,DE21I,T,30-39,11201.0
4128,DE21I,T,40+,49587.0
4129,DE21I,T,TOTAL,90593.0
4130,DE21J,F,18-29,7861.0
4131,DE21J,F,30-39,7044.0
4132,DE21J,F,40+,32624.0
4133,DE21J,F,<18,10483.0
4134,DE21J,F,TOTAL,58012.0
4135,DE21J,M,18-29,8620.0
4136,DE21J,M,30-39,7087.0
4137,DE21J,M,40+,31339.0
4138,DE21J,M,<18,11058.0
4139,DE21J,M,TOTAL,58104.0
4140,DE21J,T,18-29,13634.0
4141,DE21J,T,30-39,14131.0
4142,DE21J,T,40+,63963.0
4143,DE21J,T,TOTAL,116116.0
4144,DE21K,F,18-29,15700.0
4145,DE21K,F,30-39,13943.0
4146,DE21K,F,40+,73131.0
4147,DE21K,F,<18,21749.0
4148,DE21K,F,TOTAL,124523.0
4149,DE21K,M,18-29,16746.0
4150,DE21K,M,30-39,13401.0
4151,DE21K,M,40+,66003.0
4152,DE21K,M,<18,23583.0
4153,DE21K,M,TOTAL,119733.0
4154,DE21K,T,18-29,26207.0
4155,DE21K,T,30-39,27344.0
4156,DE21K,T,40+,139134.0
4157,DE21K,T,TOTAL,244256.0
4158,DE21L,F,18-29,6865.0
4159,DE21L,F,30-39,7339.0
4160,DE21L,F,40+,40663.0
4161,DE21L,F,<18,11425.0
4162,DE21L,F,TOTAL,66292.0
4163,DE21L,M,18-29,7138.0
4164,DE21L,M,30-39,6083.0
4165,DE21L,M,40+,35679.0
4166,DE21L,M,<18,11940.0
4167,DE21L,M,TOTAL,60840.0
4168,DE21L,T,18-29,11401.0
4169,DE21L,T,30-39,13422.0
4170,DE21L,T,40+,76342.0
4171,DE21L,T,TOTAL,127132.0
4172,DE21M,F,18-29,10522.0
4173,DE21M,F,30-39,9332.0
4174,DE21M,F,40+,52155.0
4175,DE21M,F,<18,14618.0
4176,DE21M,F,TOTAL,86627.0
4177,DE21M,M,18-29,11580.0
4178,DE21M,M,30-39,8980.0
4179,DE21M,M,40+,46395.0
4180,DE21M,M,<18,14928.0
4181,DE21M,M,TOTAL,81883.0
4182,DE21M,T,18-29,17874.0
4183,DE21M,T,30-39,18312.0
4184,DE21M,T,40+,98550.0
4185,DE21M,T,TOTAL,168510.0
4186,DE21N,F,18-29,8083.0
4187,DE21N,F,30-39,7063.0
4188,DE21N,F,40+,38704.0
4189,DE21N,F,<18,11743.0
4190,DE21N,F,TOTAL,65593.0
4191,DE21N,M,18-29,8726.0
4192,DE21N,M,30-39,6931.0
4193,DE21N,M,40+,35329.0
4194,DE21N,M,<18,12183.0
4195,DE21N,M,TOTAL,63169.0
4196,DE21N,T,18-29,13581.0
4197,DE21N,T,30-39,13994.0
4198,DE21N,T,40+,74033.0
4199,DE21N,T,TOTAL,128762.0
4200,DE22,F,18-29,80376.0
4201,DE22,F,30-39,67747.0
4202,DE22,F,40+,347882.0
4203,DE22,F,<18,99309.0
4204,DE22,F,TOTAL,595314.0
4205,DE22,M,18-29,85038.0
4206,DE22,M,30-39,69717.0
4207,DE22,M,40+,317752.0
4208,DE22,M,<18,105013.0
4209,DE22,M,TOTAL,577520.0
4210,DE22,T,18-29,137135.0
4211,DE22,T,30-39,137464.0
4212,DE22,T,40+,665634.0
4213,DE22,T,TOTAL,1172834.0
4214,DE221,F,18-29,4883.0
4215,DE221,F,30-39,4136.0
4216,DE221,F,40+,19624.0
4217,DE221,F,<18,4737.0
4218,DE221,F,TOTAL,33380.0
4219,DE221,M,18-29,4694.0
4220,DE221,M,30-39,4303.0
4221,DE221,M,40+,16246.0
4222,DE221,M,<18,4921.0
4223,DE221,M,TOTAL,30164.0
4224,DE221,T,18-29,8250.0
4225,DE221,T,30-39,8439.0
4226,DE221,T,40+,35870.0
4227,DE221,T,TOTAL,63544.0
4228,DE222,F,18-29,5239.0
4229,DE222,F,30-39,2459.0
4230,DE222,F,40+,14843.0
4231,DE222,F,<18,3280.0
4232,DE222,F,TOTAL,25821.0
4233,DE222,M,18-29,4504.0
4234,DE222,M,30-39,2931.0
4235,DE222,M,40+,12072.0
4236,DE222,M,<18,3321.0
4237,DE222,M,TOTAL,22828.0
4238,DE222,T,18-29,8686.0
4239,DE222,T,30-39,5390.0
4240,DE222,T,40+,26915.0
4241,DE222,T,TOTAL,48649.0
4242,DE223,F,18-29,3324.0
4243,DE223,F,30-39,2302.0
4244,DE223,F,40+,13858.0
4245,DE223,F,<18,3123.0
4246,DE223,F,TOTAL,22607.0
4247,DE223,M,18-29,3472.0
4248,DE223,M,30-39,2999.0
4249,DE223,M,40+,12222.0
4250,DE223,M,<18,3188.0
4251,DE223,M,TOTAL,21881.0
4252,DE223,T,18-29,5787.0
4253,DE223,T,30-39,5301.0
4254,DE223,T,40+,26080.0
4255,DE223,T,TOTAL,44488.0
4256,DE224,F,18-29,7938.0
4257,DE224,F,30-39,6715.0
4258,DE224,F,40+,33990.0
4259,DE224,F,<18,9606.0
4260,DE224,F,TOTAL,58249.0
4261,DE224,M,18-29,8247.0
4262,DE224,M,30-39,6867.0
4263,DE224,M,40+,30865.0
4264,DE224,M,<18,10226.0
4265,DE224,M,TOTAL,56205.0
4266,DE224,T,18-29,13465.0
4267,DE224,T,30-39,13582.0
4268,DE224,T,40+,64855.0
4269,DE224,T,TOTAL,114454.0
4270,DE225,F,18-29,5170.0
4271,DE225,F,30-39,4300.0
4272,DE225,F,40+,23666.0
4273,DE225,F,<18,6514.0
4274,DE225,F,TOTAL,39650.0
4275,DE225,M,18-29,5471.0
4276,DE225,M,30-39,4392.0
4277,DE225,M,40+,21710.0
4278,DE225,M,<18,6947.0
4279,DE225,M,TOTAL,38520.0
4280,DE225,T,18-29,8695.0
4281,DE225,T,30-39,8692.0
4282,DE225,T,40+,45376.0
4283,DE225,T,TOTAL,78170.0
4284,DE226,F,18-29,7661.0
4285,DE226,F,30-39,6992.0
4286,DE226,F,40+,31753.0
4287,DE226,F,<18,10271.0
4288,DE226,F,TOTAL,56677.0
4289,DE226,M,18-29,8345.0
4290,DE226,M,30-39,6834.0
4291,DE226,M,40+,30004.0
4292,DE226,M,<18,10893.0
4293,DE226,M,TOTAL,56076.0
4294,DE226,T,18-29,13082.0
4295,DE226,T,30-39,13826.0
4296,DE226,T,40+,61757.0
4297,DE226,T,TOTAL,112753.0
4298,DE227,F,18-29,9380.0
4299,DE227,F,30-39,8902.0
4300,DE227,F,40+,41843.0
4301,DE227,F,<18,13577.0
4302,DE227,F,TOTAL,73702.0
4303,DE227,M,18-29,10381.0
4304,DE227,M,30-39,8818.0
4305,DE227,M,40+,39892.0
4306,DE227,M,<18,14368.0
4307,DE227,M,TOTAL,73459.0
4308,DE227,T,18-29,16206.0
4309,DE227,T,30-39,17720.0
4310,DE227,T,40+,81735.0
4311,DE227,T,TOTAL,147161.0
4312,DE228,F,18-29,12092.0
4313,DE228,F,30-39,10467.0
4314,DE228,F,40+,55880.0
4315,DE228,F,<18,15446.0
4316,DE228,F,TOTAL,93885.0
4317,DE228,M,18-29,12634.0
4318,DE228,M,30-39,10674.0
4319,DE228,M,40+,50635.0
4320,DE228,M,<18,16362.0
4321,DE228,M,TOTAL,90305.0
4322,DE228,T,18-29,20266.0
4323,DE228,T,30-39,21141.0
4324,DE228,T,40+,106515.0
4325,DE228,T,TOTAL,184190.0
4326,DE229,F,18-29,4886.0
4327,DE229,F,30-39,4269.0
4328,DE229,F,40+,23595.0
4329,DE229,F,<18,6062.0
4330,DE229,F,TOTAL,38812.0
4331,DE229,M,18-29,5575.0
4332,DE229,M,30-39,4355.0
4333,DE229,M,40+,21428.0
4334,DE229,M,<18,6612.0
4335,DE229,M,TOTAL,37970.0
4336,DE229,T,18-29,8630.0
4337,DE229,T,30-39,8624.0
4338,DE229,T,40+,45023.0
4339,DE229,T,TOTAL,76782.0
4340,DE22A,F,18-29,7698.0
4341,DE22A,F,30-39,6382.0
4342,DE22A,F,40+,35084.0
4343,DE22A,F,<18,10146.0
4344,DE22A,F,TOTAL,59310.0
4345,DE22A,M,18-29,8069.0
4346,DE22A,M,30-39,6543.0
4347,DE22A,M,40+,31942.0
4348,DE22A,M,<18,10770.0
4349,DE22A,M,TOTAL,57324.0
4350,DE22A,T,18-29,12917.0
4351,DE22A,T,30-39,12925.0
4352,DE22A,T,40+,67026.0
4353,DE22A,T,TOTAL,116634.0
4354,DE22B,F,18-29,6039.0
4355,DE22B,F,30-39,5693.0
4356,DE22B,F,40+,27799.0
4357,DE22B,F,<18,8764.0
4358,DE22B,F,TOTAL,48295.0
4359,DE22B,M,18-29,6798.0
4360,DE22B,M,30-39,5547.0
4361,DE22B,M,40+,26092.0
4362,DE22B,M,<18,9121.0
4363,DE22B,M,TOTAL,47558.0
4364,DE22B,T,18-29,10483.0
4365,DE22B,T,30-39,11240.0
4366,DE22B,T,40+,53891.0
4367,DE22B,T,TOTAL,95853.0
4368,DE22C,F,18-29,6066.0
4369,DE22C,F,30-39,5130.0
4370,DE22C,F,40+,25947.0
4371,DE22C,F,<18,7783.0
4372,DE22C,F,TOTAL,44926.0
4373,DE22C,M,18-29,6848.0
4374,DE22C,M,30-39,5454.0
4375,DE22C,M,40+,24644.0
4376,DE22C,M,<18,8284.0
4377,DE22C,M,TOTAL,45230.0
4378,DE22C,T,18-29,10668.0
4379,DE22C,T,30-39,10584.0
4380,DE22C,T,40+,50591.0
4381,DE22C,T,TOTAL,90156.0
4382,DE23,F,18-29,77518.0
4383,DE23,F,30-39,63130.0
4384,DE23,F,40+,314226.0
4385,DE23,F,<18,89610.0
4386,DE23,F,TOTAL,544484.0
4387,DE23,M,18-29,80678.0
4388,DE23,M,30-39,63908.0
4389,DE23,M,40+,288118.0
4390,DE23,M,<18,93778.0
4391,DE23,M,TOTAL,526482.0
4392,DE23,T,18-29,132390.0
4393,DE23,T,30-39,127038.0
4394,DE23,T,40+,602344.0
4395,DE23,T,TOTAL,1070966.0
4396,DE231,F,18-29,2948.0
4397,DE231,F,30-39,2238.0
4398,DE231,F,40+,13075.0
4399,DE231,F,<18,3244.0
4400,DE231,F,TOTAL,21505.0
4401,DE231,M,18-29,3338.0
4402,DE231,M,30-39,2510.0
4403,DE231,M,40+,11330.0
4404,DE231,M,<18,3229.0
4405,DE231,M,TOTAL,20407.0
4406,DE231,T,18-29,5342.0
4407,DE231,T,30-39,4748.0
4408,DE231,T,40+,24405.0
4409,DE231,T,TOTAL,41912.0
4410,DE232,F,18-29,14759.0
4411,DE232,F,30-39,9495.0
4412,DE232,F,40+,37106.0
4413,DE232,F,<18,9702.0
4414,DE232,F,TOTAL,71062.0
4415,DE232,M,18-29,13168.0
4416,DE232,M,30-39,10216.0
4417,DE232,M,40+,31268.0
4418,DE232,M,<18,9689.0
4419,DE232,M,TOTAL,64341.0
4420,DE232,T,18-29,25286.0
4421,DE232,T,30-39,19711.0
4422,DE232,T,40+,68374.0
4423,DE232,T,TOTAL,135403.0
4424,DE233,F,18-29,2960.0
4425,DE233,F,30-39,2526.0
4426,DE233,F,40+,13373.0
4427,DE233,F,<18,3178.0
4428,DE233,F,TOTAL,22037.0
4429,DE233,M,18-29,3079.0
4430,DE233,M,30-39,2289.0
4431,DE233,M,40+,10981.0
4432,DE233,M,<18,3360.0
4433,DE233,M,TOTAL,19709.0
4434,DE233,T,18-29,5102.0
4435,DE233,T,30-39,4815.0
4436,DE233,T,40+,24354.0
4437,DE233,T,TOTAL,41746.0
4438,DE234,F,18-29,6948.0
4439,DE234,F,30-39,5656.0
4440,DE234,F,40+,30982.0
4441,DE234,F,<18,8871.0
4442,DE234,F,TOTAL,52457.0
4443,DE234,M,18-29,7374.0
4444,DE234,M,30-39,5625.0
4445,DE234,M,40+,28939.0
4446,DE234,M,<18,9507.0
4447,DE234,M,TOTAL,51445.0
4448,DE234,T,18-29,11724.0
4449,DE234,T,30-39,11281.0
4450,DE234,T,40+,59921.0
